episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
nan,nan,nan,nan,0,0,4,0,0,46080,0,512,0,512,0,3.761481985792805,0.0,512,0,46080,False,0,1,f6458_00000,2023-12-01_20-44-11,1701481451,136.11945796012878,136.11945796012878,14088,Anubhavs-MacBook-Pro.local,127.0.0.1,136.11945796012878,1,512,0,46080,0,nan,nan,nan,nan,0,0,[],[],136116.482,21596.406,55.298,512,0,46080,0,52.7479381443299,81.43969072164948,[],[],64.0,46080.0,1.5429236882530515,1.5429236882530515,-0.09422487895961644,9.83698620862431,1232.9625823635524,6.672513153817919e-05,8.344947772423426,0.06198405343726942,2e-05,2e-05,0.1,0.30000001192092896
nan,nan,nan,nan,0,0,4,0,0,92160,0,1024,0,512,0,3.5944436919069873,0.0,1024,0,92160,False,0,2,f6458_00000,2023-12-01_20-46-33,1701481593,142.4443371295929,278.5637950897217,14088,Anubhavs-MacBook-Pro.local,127.0.0.1,278.5637950897217,2,1024,0,92160,0,nan,nan,nan,nan,0,0,[],[],139279.243,20758.411,86.192,1024,0,92160,0,52.489603960396046,81.8128712871287,[],[],64.0,46080.0,1.5435406910255551,1.5435406910255551,-0.06169557369168615,9.677228037582504,534.1788934569888,0.00032975676159063973,8.245197258922788,0.03483000264834421,2e-05,2e-05,0.1,0.45000001788139343
nan,nan,nan,nan,0,0,4,0,0,138240,0,1536,0,512,0,3.5382470430771997,0.0,1536,0,138240,False,0,3,f6458_00000,2023-12-01_20-48-58,1701481738,144.70663714408875,423.2704322338104,14088,Anubhavs-MacBook-Pro.local,127.0.0.1,423.2704322338104,3,1536,0,138240,0,nan,nan,nan,nan,0,0,[],[],141087.612,21250.144,99.619,1536,0,138240,0,52.744390243902444,82.1429268292683,[],[],64.0,46080.0,1.1700636611039388,1.1700636611039388,-0.046109793731140804,8.092029615441959,165.87151864502164,-6.578440467516582e-06,8.159093872043822,0.020167674895389905,2e-05,2e-05,0.1,0.675000011920929
nan,nan,nan,nan,0,0,4,0,0,184320,0,2048,0,512,0,3.582709081353631,0.0,2048,0,184320,True,0,4,f6458_00000,2023-12-01_20-51-21,1701481881,142.91148495674133,566.1819171905518,14088,Anubhavs-MacBook-Pro.local,127.0.0.1,566.1819171905518,4,2048,0,184320,0,nan,nan,nan,nan,0,0,[],[],141542.845,21807.406,100.12,2048,0,184320,0,53.51724137931034,80.48571428571428,[],[],64.0,46080.0,1.0838998163329152,1.0838998163329152,-0.03908607312510463,7.690372136036555,133.44599944449132,2.903869582547082e-05,8.091377026107576,0.014119369153749643,2e-05,2e-05,0.1,0.675000011920929
