episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
nan,nan,nan,nan,0,0,4,0,0,46080,0,512,0,512,0,3.8706393950242792,0.0,512,0,46080,False,0,1,13ab3_00000,2023-12-01_20-30-37,1701480637,132.28024697303772,132.28024697303772,11997,Anubhavs-MacBook-Pro.local,127.0.0.1,132.28024697303772,1,512,0,46080,0,nan,nan,nan,nan,0,0,[],[],132277.805,19057.309,132.21,512,0,46080,0,53.197340425531905,81.80744680851063,[],[],64.0,46080.0,1.543296800138972,1.543296800138972,-0.09079471569650599,9.825214740302828,1206.639379149543,0.00011350364320807987,8.344977791574266,0.061428145249092264,2e-05,2e-05,0.1,0.30000001192092896
nan,nan,nan,nan,0,0,4,0,0,92160,0,1024,0,512,0,2.9492735547448703,0.0,1024,0,92160,False,0,2,13ab3_00000,2023-12-01_20-33-31,1701480811,173.60480403900146,305.8850510120392,11997,Anubhavs-MacBook-Pro.local,127.0.0.1,305.8850510120392,2,1024,0,92160,0,nan,nan,nan,nan,0,0,[],[],152939.883,26845.988,135.089,1024,0,92160,0,60.61265306122449,82.26979591836735,[],[],64.0,46080.0,1.5320018370025275,1.5320018370025275,-0.07247407638461381,9.670925628211764,503.8967376422882,0.0004863014734453625,8.242880056699118,0.036775105805723775,2e-05,2e-05,0.1,0.45000001788139343
nan,nan,nan,nan,0,0,4,0,0,138240,0,1536,0,512,0,3.4139177758343444,0.0,1536,0,138240,False,0,3,13ab3_00000,2023-12-01_20-36-01,1701480961,149.97610783576965,455.86115884780884,11997,Anubhavs-MacBook-Pro.local,127.0.0.1,455.86115884780884,3,1536,0,138240,0,nan,nan,nan,nan,0,0,[],[],151951.34,25763.167,126.745,1536,0,138240,0,57.213207547169816,81.18962264150946,[],[],64.0,46080.0,1.1527900175188874,1.1527900175188874,-0.047760883256333826,8.023818596502146,147.71140074186854,-1.8064652880032858e-05,8.146862778928545,0.020627879213502922,2e-05,2e-05,0.1,0.675000011920929
nan,nan,nan,nan,0,0,4,0,0,184320,0,2048,0,512,0,3.550490857652025,0.0,2048,0,184320,True,0,4,13ab3_00000,2023-12-01_20-38-25,1701481105,144.20850205421448,600.0696609020233,11997,Anubhavs-MacBook-Pro.local,127.0.0.1,600.0696609020233,4,2048,0,184320,0,nan,nan,nan,nan,0,0,[],[],150014.835,25611.152,108.008,2048,0,184320,0,56.60585365853659,78.23073170731706,[],[],64.0,46080.0,1.0321643232008986,1.0321643232008986,-0.03464631455303687,7.464248650007778,145.36265087227028,4.158500168058607e-06,8.076296588844723,0.012412072252815721,2e-05,2e-05,0.1,0.675000011920929
