episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/__all__/num_agent_steps_trained,info/learner/__all__/num_env_steps_trained,info/learner/__all__/total_loss,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_loss_unclipped,info/learner/default_policy/vf_explained_var,info/learner/default_policy/entropy,info/learner/default_policy/mean_kl_loss,info/learner/default_policy/default_optimizer_lr,info/learner/default_policy/curr_lr,info/learner/default_policy/curr_entropy_coeff,info/learner/default_policy/curr_kl_coeff
nan,nan,nan,nan,0,0,4,0,0,46080,0,512,0,512,0,4.211366548981004,0.0,512,0,46080,False,0,1,f2865_00000,2023-12-02_13-40-18,1701542418,121.5788938999176,121.5788938999176,26746,Anubhavs-MacBook-Pro.local,127.0.0.1,121.5788938999176,1,512,0,46080,0,nan,nan,nan,nan,0,0,[],[],121575.667,16534.609,35.216,512,0,46080,0,48.88092485549133,78.20809248554913,[],[],64.0,46080.0,1.5399694551495162,1.5399694551495162,-0.0987520977616724,9.841640276445283,1224.7523351245457,0.00012376094030009375,8.342648410134846,0.0628817256826945,2e-05,2e-05,0.1,0.30000001192092896
nan,nan,nan,nan,0,0,4,0,0,92160,0,1024,0,512,0,3.9874149356298583,0.0,1024,0,92160,False,0,2,f2865_00000,2023-12-02_13-42-27,1701542547,128.40677690505981,249.98567080497742,26746,Anubhavs-MacBook-Pro.local,127.0.0.1,249.98567080497742,2,1024,0,92160,0,nan,nan,nan,nan,0,0,[],[],124989.8,16343.688,46.694,1024,0,92160,0,50.72967032967033,78.22857142857141,[],[],64.0,46080.0,1.5293933765613474,1.5293933765613474,-0.06829764550842811,9.642744931048817,505.28024712562564,-8.783680697282155e-05,8.239906511439218,0.03665153670316351,2e-05,2e-05,0.1,0.45000001788139343
nan,nan,nan,nan,0,0,4,0,0,138240,0,1536,0,512,0,3.9282766405558456,0.0,1536,0,138240,False,0,3,f2865_00000,2023-12-02_13-44-37,1701542677,130.34077286720276,380.3264436721802,26746,Anubhavs-MacBook-Pro.local,127.0.0.1,380.3264436721802,3,1536,0,138240,0,nan,nan,nan,nan,0,0,[],[],126772.2,15732.266,42.255,1536,0,138240,0,48.03567567567567,78.53675675675676,[],[],64.0,46080.0,1.152722499730557,1.152722499730557,-0.049896029574964716,8.031040356556575,143.61390235304833,2.9129236936569213e-05,8.144657122029198,0.02072037895260795,2e-05,2e-05,0.1,0.675000011920929
nan,nan,nan,nan,0,0,4,0,0,184320,0,2048,0,512,0,3.87353451146305,0.0,2048,0,184320,True,0,4,f2865_00000,2023-12-02_13-46-49,1701542809,132.1814022064209,512.5078458786011,26746,Anubhavs-MacBook-Pro.local,127.0.0.1,512.5078458786011,4,2048,0,184320,0,nan,nan,nan,nan,0,0,[],[],128123.893,15812.694,40.324,2048,0,184320,0,47.74438502673797,78.2288770053476,[],[],64.0,46080.0,0.9847259663038939,0.9847259663038939,-0.03387293583661732,7.269483132743173,127.80472741501198,1.0648866494496664e-06,8.06788819498486,0.01187697045275513,2e-05,2e-05,0.1,0.675000011920929
